"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"DRB Systems, LLC","www.drbsystems.com","The SiteWatch Xpress Card Clearing System","1.0","POS Suite/General","Car Washes and Lube Shops","10-01.00355.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","3 Dec 2011","28 Oct 2013","Coalfire Systems, Inc","The SiteWatch Xpress Card Clearing System consists of a set of modules which handle card processing from the swipe/manual entry to the card processor. Card data is tokenized, encrypted and stored. The token can then be used by an external Point of Sale system (SiteWatch in this case) to manage the financial aspects of the transaction."
"Duncan Solutions","","Single Space Liberty Meter","1.0","POS Kiosk","Municipalities or any parking vendor","13-07.00881.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","SecurityMetrics, Inc.","The Single Space Liberty Meter is a parking meter that accepts payments using credit cards.  Payments are processed through the Duncan Solutions payment gateway, a PCI DSS validated environment.  The meter communicates with the Duncan environment using the AT&amp;T cellular network. All communication between the Duncan Solutions environment and the meter is encrypted by an SSL connection."
"DVMAX","dvmax.com","DVMAX","7.0.12","POS Face-to-Face/POI","Veterinary Clinics","10-08.00224.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","15 Oct 2011","28 Oct 2013","Trustwave Holdings, Inc.","DVMAX 7.0.12 performs card-present, card-not-present and debit and other PIN-based transactions. The application does not perform settlement or chargebacks. The application does not store any cardholder data. Cardholder data can be either swiped or manually entered into the application. When manually entered, card validation codes are requested. All sensitive authentication data collected during a transaction, including magnetic track data, PIN numbers and card validation codes, is held in VRAM prior to authorization. Subsequent to authorization, data is purged from VRAM. The application is comprised of a POS workstation hosting the DVMAX Client and an application server hosting the DVMAX Server. The DVMAX Server contains the application and a flat-file database. Both the POS workstation hosting the DVMAX Client and the application server hosting the DVMAX Server are designed to be installed within the merchant's private network. The application server receives cardholder data from the POS workstation and provides all communication to the acquiring bank for authorization. Both the POS workstation software and the application server software, both of which the customer also must provide, can be installed on either a standard PC running Windows XP Professional or a Mac running OS X, which the customer must also provide. The flat-file database is used for daily management reports of transactions and holds no cardholder data. The application is not designed for integration into a web-based application."
"DVMAX","dvmax.com","DVMAX","7.5","POS Face-to-Face/POI","Veterinary Clinics","10-08.00224.001.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","15 Oct 2011","28 Oct 2013","Trustwave Holdings, Inc.","The DVMAX 7.5 credit card processing component performs card-present, card-not-present and debit and other PIN-based transactions. The application does not perform settlement or chargebacks. The application does not store any cardholder data. Cardholder data can be either swiped or manually entered into the application. When manually entered, card validation codes are requested. All sensitive authentication data collected during a transaction, including magnetic track data, PIN numbers and card validation codes, is held in RAM prior to authorization. Subsequent to authorization, data is purged from RAM. The application is comprised of a POS workstation hosting the DVMAX Client and an application server hosting the DVMAX Server. The DVMAX Server contains the application and a relational database. Boththe POS workstation hosting the DVMAX Client and the application server hosting the DVMAX Server are designed to be installed within the merchant's private network. DVMAX Client provides all communication to the acquiring bank for authorization. Both the POS workstation software and the application server software, both of which the customer also must provide, can be installed on either a standard PC running Windows XP Professional or a Mac running OS X, which the customer must also provide. The relational database is used for daily management reports of transactions and holds no cardholder data. The application is not designed for integration into a web-based application."
"Dydacomp","www.dydacomp.com","Mail Order Manager (M.O.M.)","7.0","POS Face-to-Face/POI","eCommerce, B2B, Mail Order, Retail, Catalog Merchants","09-08.00723.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","18 Aug 2012","28 Oct 2013","Coalfire Systems, Inc","Mail Order Manager provides the total automation solution for B-to-B, B-to-C or a combination of both. M.O.M. provides functionality for order entry and import, ecommerce integration, customer management, order processing, inventory management, and direct marketing features."
"Dydacomp","www.dydacomp.com","Multichannel Order Manager (M.O.M.)","8.0","POS Suite/General","eCommerce, B2B, Mail Order, Retail, Catalog Merchants","09-08.00723.001.aaa","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","11 Oct 2013","28 Oct 2013","Coalfire Systems, Inc","Mail Order Manager provides the total automation solution for B-to-B, B-to-C or a combination of both. M.O.M. provides functionality for order entry and import, eCommerce integration, customer management, order processing, inventory management, and direct marketing features."
"Dydacomp","www.dydacomp.com","Multichannel Order Manager (M.O.M.)","8.05","POS Suite/General","eCommerce, B2B, Mail Order, Retail, Catalog Merchants","13-01.00723.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","22 Jan 2015","28 Oct 2016","Coalfire Systems, Inc","Mail Order Manager provides the total automation solution for B-to-B, B-to-C or a combination of both. M.O.M. provides functionality for order entry and import, eCommerce integration, customer management, order processing, inventory management, and direct marketing features."
"Dydacomp","www.dydacomp.com","Multichannel Order Manager (M.O.M.)","9.0","POS Suite/General","Retail, e-Commerce, Small/Medium Merchants","14-01.00723.003","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","Multichannel Order Manager (M.O.M.) provides the total automation solution for B-to-B, B-to-C or a combination of both. M.O.M. provides functionality for order entry and import, eCommerce integration, customer management, order processing, inventory management, and direct marketing features."
"E la Carte","www.elacarte.com","ELC","2.13.25.98","POS Face-to-Face/POI","Restaurants","11-08.00594.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Digital Resources Group","Payment application used for Restaurant table-side ordering and payment solution"
"E la Carte","www.elacarte.com","ELC","3.0","POS Face-to-Face/POI","Restaurants, Bars, and Hospitality","13-08.00594.002","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","13 Nov 2014","28 Oct 2016","Coalfire Systems, Inc","Payment application used for Restaurant table-side ordering and payment solution."
"E la Carte","www.elacarte.com","ELC","3.1","POS Face-to-Face/POI","Restaurants, Bars, and Hospitality","13-08.00594.002.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2015","28 Oct 2016","Coalfire Systems, Inc","Payment application used for Restaurant table-side ordering and payment solution."
"E la Carte","www.elacarte.com","ELC","3.2","POS Face-to-Face/POI","Restaurants, Bars, and Hospitality","13-08.00594.002.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","22 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","Payment application used for Restaurant table-side ordering and payment solution."
"E la Carte","www.elacarte.com","Presto Smart Dining System","3.2.*","Payment Middleware","Restaurants","16-02.00594.003","PA-DSS v3.2","Acceptable for New Deployments","25 Jan 2019","28 Oct 2022","Coalfire Systems, Inc","Payment application used for Restaurant table-side ordering and payment solution.  Note: This application is only validated for use with the Proprietary presto mobile terminal, running a vendor hardened version of Android 4.2.2, Category 2 mobile device listed as a dependency in the listing, refer to the Mobile FAQ at https://www.pcisecuritystandards.org/documents/pa-dss_mobile_apps-faqs.pdf for more information on Category 2 mobile devices."
"E-SoftSys LLC","www.e-softsys.com","Self Storage Manager","2.0","Automated Fuel Dispenser","Storage Merchants","11-01.00398.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","8 Jan 2013","28 Oct 2013","SISA","Self Storage Manager from E-SoftSys is a web-based multi-facility management software designed to centralize operational control and standardize operations across all locations, to cater to requirements of large facilities and multi-facility companies having its own separate Corporate Office. Individuals can rent storage spaces and store their belongings for an extended period of time. Self Storage Manager Application is an end-to-end management application which facilitates the management of the storage units and their tenants. The application facilitates the use of credit card as one of the mediums of payment. Self Storage Manager provides the ability to accept payment from facility customers by credit card. Through the application both Card-Present and Card Not Present (CNP) transactions are facilitated."
